"","scientific_name","taxocode","a3_code","isscaap","english_name"
"7016","Pterois antennata","1780103603","PZT","34","Broadbarred firefish"
"8736","Calappa angusta","2310100104","KAT","42","Nodose box crab"
"10609","Cystophora cristata","4060301001","SEZ","63","Hooded seal"
"4270","Tosanoides filamentosus","1700227301","TSF","33",""
"5971","Parachaenichthys georgianus","1709345201","PGE","34",""
"3506","Ventrifossa petersoni","1480603507","VES","32","Peterson's grenadier"
"10197","Gari elongata","3163800101","GQE","56","Elongate sunset clam"
"9673","Pecten jacobaeus","3160800311","SJA","55","Great Mediterranean scallop"
"3734","Nothobranchius cyaneus","1570801201","NBY","13",""
"4377","Apogon semilineatus","1701200102","OGS","33","Half-lined cardinal"
